,State-County,Area_Name
603,17017,Cass County
604,17019,Champaign County
605,17021,Christian County
606,17023,Clark County
607,17025,Clay County
608,17027,Clinton County
609,17029,Coles County
610,17031,Cook County
611,17033,Crawford County
612,17035,Cumberland County
613,17037,DeKalb County
614,17039,De Witt County
615,17041,Douglas County
616,17043,DuPage County
617,17045,Edgar County
618,17047,Edwards County
619,17049,Effingham County
620,17051,Fayette County
621,17053,Ford County
622,17055,Franklin County
623,17057,Fulton County
624,17059,Gallatin County
625,17061,Greene County
626,17063,Grundy County
627,17065,Hamilton County
628,17067,Hancock County
629,17069,Hardin County
630,17071,Henderson County
631,17073,Henry County
632,17075,Iroquois County
633,17077,Jackson County
634,17079,Jasper County
635,17081,Jefferson County
636,17083,Jersey County
637,17085,Jo Daviess County
638,17087,Johnson County
639,17089,Kane County
640,17091,Kankakee County
641,17093,Kendall County
642,17095,Knox County
643,17097,Lake County
644,17099,LaSalle County
645,17101,Lawrence County
646,17103,Lee County
647,17105,Livingston County
648,17107,Logan County
649,17109,McDonough County
650,17111,McHenry County
651,17113,McLean County
652,17115,Macon County
653,17117,Macoupin County
654,17119,Madison County
655,17121,Marion County
656,17123,Marshall County
657,17125,Mason County
658,17127,Massac County
659,17129,Menard County
660,17131,Mercer County
661,17133,Monroe County
662,17135,Montgomery County
663,17137,Morgan County
664,17139,Moultrie County
665,17141,Ogle County
666,17143,Peoria County
667,17145,Perry County
668,17147,Piatt County
669,17149,Pike County
670,17151,Pope County
671,17153,Pulaski County
672,17155,Putnam County
673,17157,Randolph County
674,17159,Richland County
675,17161,Rock Island County
676,17163,St. Clair County
677,17165,Saline County
678,17167,Sangamon County
679,17169,Schuyler County
680,17171,Scott County
681,17173,Shelby County
682,17175,Stark County
683,17177,Stephenson County
684,17179,Tazewell County
685,17181,Union County
686,17183,Vermilion County
687,17185,Wabash County
688,17187,Warren County
689,17189,Washington County
690,17191,Wayne County
691,17193,White County
692,17195,Whiteside County
693,17197,Will County
694,17199,Williamson County
695,17201,Winnebago County
696,17203,Woodford County
697,18001,Adams County
698,18003,Allen County
699,18005,Bartholomew County
700,18007,Benton County
701,18009,Blackford County
702,18011,Boone County
703,18013,Brown County
704,18015,Carroll County
705,18017,Cass County
706,18019,Clark County
707,18021,Clay County
708,18023,Clinton County
709,18025,Crawford County
710,18027,Daviess County
711,18029,Dearborn County
712,18031,Decatur County
713,18033,DeKalb County
714,18035,Delaware County
715,18037,Dubois County
716,18039,Elkhart County
717,18041,Fayette County
718,18043,Floyd County
719,18045,Fountain County
720,18047,Franklin County
721,18049,Fulton County
722,18051,Gibson County
723,18053,Grant County
724,18055,Greene County
725,18057,Hamilton County
726,18059,Hancock County
727,18061,Harrison County
728,18063,Hendricks County
729,18065,Henry County
730,18067,Howard County
731,18069,Huntington County
732,18071,Jackson County
733,18073,Jasper County
734,18075,Jay County
735,18077,Jefferson County
736,18079,Jennings County
737,18081,Johnson County
738,18083,Knox County
739,18085,Kosciusko County
740,18087,LaGrange County
741,18089,Lake County
742,18091,LaPorte County
743,18093,Lawrence County
744,18095,Madison County
745,18097,Marion County
746,18099,Marshall County
747,18101,Martin County
748,18103,Miami County
749,18105,Monroe County
750,18107,Montgomery County
751,18109,Morgan County
752,18111,Newton County
753,18113,Noble County
754,18115,Ohio County
755,18117,Orange County
756,18119,Owen County
757,18121,Parke County
758,18123,Perry County
759,18125,Pike County
760,18127,Porter County
761,18129,Posey County
762,18131,Pulaski County
763,18133,Putnam County
764,18135,Randolph County
765,18137,Ripley County
766,18139,Rush County
767,18141,St. Joseph County
768,18143,Scott County
769,18145,Shelby County
770,18147,Spencer County
771,18149,Starke County
772,18151,Steuben County
773,18153,Sullivan County
774,18155,Switzerland County
775,18157,Tippecanoe County
776,18159,Tipton County
777,18161,Union County
778,18163,Vanderburgh County
779,18165,Vermillion County
780,18167,Vigo County
781,18169,Wabash County
782,18171,Warren County
783,18173,Warrick County
784,18175,Washington County
785,18177,Wayne County
786,18179,Wells County
787,18181,White County
788,18183,Whitley County
789,19001,Adair County
790,19003,Adams County
791,19005,Allamakee County
792,19007,Appanoose County
793,19009,Audubon County
794,19011,Benton County
795,19013,Black Hawk County
796,19015,Boone County
797,19017,Bremer County
798,19019,Buchanan County
799,19021,Buena Vista County
800,19023,Butler County
801,19025,Calhoun County
802,19027,Carroll County
803,19029,Cass County
804,19031,Cedar County
805,19033,Cerro Gordo County
806,19035,Cherokee County
807,19037,Chickasaw County
808,19039,Clarke County
809,19041,Clay County
810,19043,Clayton County
811,19045,Clinton County
812,19047,Crawford County
813,19049,Dallas County
814,19051,Davis County
815,19053,Decatur County
816,19055,Delaware County
817,19057,Des Moines County
818,19059,Dickinson County
819,19061,Dubuque County
820,19063,Emmet County
821,19065,Fayette County
822,19067,Floyd County
823,19069,Franklin County
824,19071,Fremont County
825,19073,Greene County
826,19075,Grundy County
827,19077,Guthrie County
828,19079,Hamilton County
829,19081,Hancock County
830,19083,Hardin County
831,19085,Harrison County
832,19087,Henry County
833,19089,Howard County
834,19091,Humboldt County
835,19093,Ida County
836,19095,Iowa County
837,19097,Jackson County
838,19099,Jasper County
839,19101,Jefferson County
840,19103,Johnson County
841,19105,Jones County
842,19107,Keokuk County
843,19109,Kossuth County
844,19111,Lee County
845,19113,Linn County
846,19115,Louisa County
847,19117,Lucas County
848,19119,Lyon County
